2024-02-27 18:42:06,767 INFO    StreamThr :679521 [internal.py:wandb_internal():86] W&B internal server running at pid: 679521, started at: 2024-02-27 18:42:06.766996
2024-02-27 18:42:06,768 DEBUG   HandlerThread:679521 [handler.py:handle_request():146] handle_request: status
2024-02-27 18:42:06,774 INFO    WriterThread:679521 [datastore.py:open_for_write():87] open: /home/markt/dev/ai-engineering/ai-engineering-course/Week 2/Day 1/wandb/run-20240227_184206-fmje7uih/run-fmje7uih.wandb
2024-02-27 18:42:06,775 DEBUG   SenderThread:679521 [sender.py:send():382] send: header
2024-02-27 18:42:06,807 DEBUG   SenderThread:679521 [sender.py:send():382] send: run
2024-02-27 18:42:11,812 DEBUG   HandlerThread:679521 [handler.py:handle_request():146] handle_request: keepalive
2024-02-27 18:42:16,815 DEBUG   HandlerThread:679521 [handler.py:handle_request():146] handle_request: keepalive
2024-02-27 18:42:17,534 INFO    SenderThread:679521 [dir_watcher.py:__init__():211] watching files in: /home/markt/dev/ai-engineering/ai-engineering-course/Week 2/Day 1/wandb/run-20240227_184206-fmje7uih/files
2024-02-27 18:42:17,534 INFO    SenderThread:679521 [sender.py:_start_run_threads():1136] run started: fmje7uih with start time 1709055726.767696
2024-02-27 18:42:17,534 DEBUG   HandlerThread:679521 [handler.py:handle_request():146] handle_request: status_report
2024-02-27 18:42:17,538 DEBUG   HandlerThread:679521 [handler.py:handle_request():146] handle_request: check_version
2024-02-27 18:42:17,538 DEBUG   SenderThread:679521 [sender.py:send_request():409] send_request: check_version
2024-02-27 18:42:17,641 DEBUG   HandlerThread:679521 [handler.py:handle_request():146] handle_request: run_start
2024-02-27 18:42:17,661 DEBUG   HandlerThread:679521 [system_info.py:__init__():27] System info init
2024-02-27 18:42:17,661 DEBUG   HandlerThread:679521 [system_info.py:__init__():42] System info init done
2024-02-27 18:42:17,661 INFO    HandlerThread:679521 [system_monitor.py:start():194] Starting system monitor
2024-02-27 18:42:17,662 INFO    SystemMonitor:679521 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-27 18:42:17,662 INFO    HandlerThread:679521 [system_monitor.py:probe():214] Collecting system info
2024-02-27 18:42:17,663 INFO    SystemMonitor:679521 [interfaces.py:start():190] Started cpu monitoring
2024-02-27 18:42:17,663 INFO    SystemMonitor:679521 [interfaces.py:start():190] Started disk monitoring
2024-02-27 18:42:17,664 INFO    SystemMonitor:679521 [interfaces.py:start():190] Started gpu monitoring
2024-02-27 18:42:17,665 INFO    SystemMonitor:679521 [interfaces.py:start():190] Started memory monitoring
2024-02-27 18:42:17,665 INFO    SystemMonitor:679521 [interfaces.py:start():190] Started network monitoring
2024-02-27 18:42:17,678 DEBUG   HandlerThread:679521 [system_info.py:probe():151] Probing system
2024-02-27 18:42:17,708 DEBUG   HandlerThread:679521 [system_info.py:_probe_git():136] Probing git
2024-02-27 18:42:17,711 DEBUG   HandlerThread:679521 [system_info.py:_probe_git():144] Probing git done
2024-02-27 18:42:17,711 DEBUG   HandlerThread:679521 [system_info.py:probe():199] Probing system done
